Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: climate-model-simulation-crashes 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     7        0.3888            -nan     0.1000    0.0053
     8        0.3636            -nan     0.1000    0.0066
     9        0.3525            -nan     0.1000    0.0025
    10        0.3405            -nan     0.1000    0.0043
    20        0.2302            -nan     0.1000    0.0010
    40        0.1338            -nan     0.1000    0.0006
    60        0.0910            -nan     0.1000    0.0000
    80        0.0655            -nan     0.1000   -0.0005
   100        0.0489            -nan     0.1000   -0.0002
   120        0.0347            -nan     0.1000   -0.0001
   140        0.0256            -nan     0.1000   -0.0002
   150        0.0217            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.5671            -nan     0.1000    0.0281
     2        0.5100            -nan     0.1000    0.0223
     3        0.4754            -nan     0.1000    0.0107
     4        0.4253            -nan     0.1000    0.0228
     5        0.3838            -nan     0.1000    0.0151
     6        0.3582            -nan     0.1000    0.0070
     7        0.3386            -nan     0.1000    0.0064
     8        0.3181            -nan     0.1000    0.0075
     9        0.3009            -nan     0.1000    0.0058
    10        0.2773            -nan     0.1000    0.0111
    20        0.1796            -nan     0.1000    0.0010
    40        0.0879            -nan     0.1000   -0.0002
    60        0.0455            -nan     0.1000    0.0002
    80        0.0284            -nan     0.1000    0.0000
   100        0.0186            -nan     0.1000   -0.0001
   120        0.0128            -nan     0.1000   -0.0001
   140        0.0089            -nan     0.1000   -0.0001
   150        0.0073            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.5001            -nan     0.1000    0.0161
     2        0.4774            -nan     0.1000    0.0061
     3        0.4634            -nan     0.1000    0.0063
     4        0.4456            -nan     0.1000    0.0054
     5        0.4264            -nan     0.1000    0.0058
     6        0.4171            -nan     0.1000    0.0019
     7        0.4070            -nan     0.1000    0.0035
     8        0.3932            -nan     0.1000    0.0054
     9        0.3812            -nan     0.1000    0.0059
    10        0.3718            -nan     0.1000    0.0042
    20        0.3039            -nan     0.1000    0.0034
    40        0.2196            -nan     0.1000    0.0017
    60        0.1632            -nan     0.1000    0.0005
    80        0.1285            -nan     0.1000   -0.0001
