Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: cmc 
Loaded 295 indices for fold 1 from: results/instances/original/vectors/cmc_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/cmc_Number_of_children_ever_born_noise0.1.csv 
Altering 1178 out of 1178 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
    60        1.0387            -nan     0.1000   -0.0005
    80        1.0139            -nan     0.1000   -0.0012
   100        0.9944            -nan     0.1000   -0.0009
   120        0.9753            -nan     0.1000   -0.0008
   140        0.9612            -nan     0.1000   -0.0015
   150        0.9547            -nan     0.1000   -0.0007

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3321            -nan     0.1000    0.0122
     2        1.3054            -nan     0.1000    0.0121
     3        1.2854            -nan     0.1000    0.0075
     4        1.2612            -nan     0.1000    0.0114
     5        1.2394            -nan     0.1000    0.0087
     6        1.2244            -nan     0.1000    0.0070
     7        1.2108            -nan     0.1000    0.0061
     8        1.2011            -nan     0.1000    0.0041
     9        1.1906            -nan     0.1000    0.0034
    10        1.1773            -nan     0.1000    0.0051
    20        1.1039            -nan     0.1000    0.0006
    40        1.0330            -nan     0.1000    0.0003
    60        0.9873            -nan     0.1000   -0.0008
    80        0.9539            -nan     0.1000   -0.0007
   100        0.9270            -nan     0.1000   -0.0002
   120        0.8991            -nan     0.1000   -0.0008
   140        0.8809            -nan     0.1000   -0.0014
   150        0.8702            -nan     0.1000   -0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3493            -nan     0.1000    0.0052
     2        1.3381            -nan     0.1000    0.0043
     3        1.3268            -nan     0.1000    0.0042
     4        1.3174            -nan     0.1000    0.0045
     5        1.3083            -nan     0.1000    0.0034
     6        1.3000            -nan     0.1000    0.0039
     7        1.2937            -nan     0.1000    0.0027
     8        1.2891            -nan     0.1000    0.0013
     9        1.2826            -nan     0.1000    0.0023
    10        1.2769            -nan     0.1000    0.0016
    20        1.2252            -nan     0.1000    0.0018
    40        1.1647            -nan     0.1000   -0.0003
    60        1.1349            -nan     0.1000   -0.0000
    80        1.1164            -nan     0.1000    0.0004
   100        1.1019            -nan     0.1000   -0.0001
   120        1.0915            -nan     0.1000    0.0004
   140        1.0840            -nan     0.1000   -0.0002
   150        1.0809            -nan     0.1000   -0.0005

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3383            -nan     0.1000    0.0107
     2        1.3176            -nan     0.1000    0.0083
     3        1.2981            -nan     0.1000    0.0095
     4        1.2829            -nan     0.1000    0.0073
     5        1.2689            -nan     0.1000    0.0054
     6        1.2568            -nan     0.1000    0.0050
     7        1.2431            -nan     0.1000    0.0057
     8        1.2312            -nan     0.1000    0.0052
     9        1.2219            -nan     0.1000    0.0043
    10        1.2119            -nan     0.1000    0.0030
    20        1.1440            -nan     0.1000    0.0020
    40        1.0808            -nan     0.1000   -0.0002
    60        1.0483            -nan     0.1000   -0.0002
    80        1.0156            -nan     0.1000   -0.0000
   100        0.9914            -nan     0.1000   -0.0003
   120        0.9728            -nan     0.1000   -0.0002
   140        0.9561            -nan     0.1000   -0.0006
   150        0.9496            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3243            -nan     0.1000    0.0192
     2        1.3011            -nan     0.1000    0.0095
     3        1.2840            -nan     0.1000    0.0062
