Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: liver-disorders 
Loaded 69 indices for fold 1 from: results/instances/original/vectors/liver-disorders_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 50 %
Loading training noise data from: results/noise_injection/by_dataset/liver-disorders_sgpt_noise0.1.csv 
Altering 138 out of 276 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   120        0.8493            -nan     0.1000   -0.0017
   140        0.8143            -nan     0.1000   -0.0005
   150        0.7986            -nan     0.1000   -0.0010

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3453            -nan     0.1000    0.0066
     2        1.3222            -nan     0.1000    0.0052
     3        1.3046            -nan     0.1000    0.0052
     4        1.2872            -nan     0.1000    0.0034
     5        1.2681            -nan     0.1000    0.0035
     6        1.2433            -nan     0.1000    0.0098
     7        1.2323            -nan     0.1000   -0.0006
     8        1.2125            -nan     0.1000    0.0047
     9        1.2007            -nan     0.1000    0.0021
    10        1.1875            -nan     0.1000    0.0013
    20        1.0613            -nan     0.1000    0.0011
    40        0.8986            -nan     0.1000    0.0009
    60        0.7894            -nan     0.1000   -0.0039
    80        0.7144            -nan     0.1000   -0.0023
   100        0.6468            -nan     0.1000   -0.0021
   120        0.5904            -nan     0.1000   -0.0019
   140        0.5369            -nan     0.1000   -0.0011
   150        0.5224            -nan     0.1000   -0.0014

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3352            -nan     0.1000    0.0084
     2        1.3014            -nan     0.1000    0.0061
     3        1.2745            -nan     0.1000    0.0099
     4        1.2491            -nan     0.1000    0.0047
     5        1.2260            -nan     0.1000    0.0037
     6        1.1946            -nan     0.1000    0.0105
     7        1.1622            -nan     0.1000    0.0108
     8        1.1410            -nan     0.1000    0.0047
     9        1.1230            -nan     0.1000    0.0071
    10        1.1036            -nan     0.1000    0.0017
    20        0.9501            -nan     0.1000    0.0018
    40        0.7627            -nan     0.1000    0.0008
    60        0.6452            -nan     0.1000   -0.0033
    80        0.5554            -nan     0.1000   -0.0020
   100        0.4839            -nan     0.1000   -0.0015
   120        0.4254            -nan     0.1000   -0.0013
   140        0.3770            -nan     0.1000   -0.0015
   150        0.3489            -nan     0.1000   -0.0012

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3695            -nan     0.1000    0.0058
     2        1.3572            -nan     0.1000    0.0046
     3        1.3457            -nan     0.1000    0.0043
     4        1.3332            -nan     0.1000    0.0038
     5        1.3216            -nan     0.1000    0.0018
     6        1.3080            -nan     0.1000    0.0046
     7        1.2994            -nan     0.1000    0.0013
     8        1.2891            -nan     0.1000    0.0008
     9        1.2834            -nan     0.1000    0.0009
    10        1.2754            -nan     0.1000    0.0031
    20        1.2124            -nan     0.1000    0.0008
    40        1.1288            -nan     0.1000   -0.0002
    60        1.0650            -nan     0.1000    0.0002
    80        1.0202            -nan     0.1000   -0.0008
   100        0.9729            -nan     0.1000   -0.0023
   120        0.9395            -nan     0.1000   -0.0009
   140        0.9102            -nan     0.1000   -0.0014
   150        0.8970            -nan     0.1000   -0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3437            -nan     0.1000    0.0148
     2        1.3125            -nan     0.1000    0.0127
     3        1.2892            -nan     0.1000    0.0123
     4        1.2752            -nan     0.1000    0.0025
     5        1.2634            -nan     0.1000   -0.0011
     6        1.2451            -nan     0.1000    0.0084
     7        1.2306            -nan     0.1000    0.0036
     8        1.2200            -nan     0.1000   -0.0000
     9        1.2093            -nan     0.1000    0.0012
