Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: mfeat-karhunen 
Loaded 400 indices for fold 1 from: results/instances/original/vectors/mfeat-karhunen_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/mfeat-karhunen_att1_noise0.1.csv 
Altering 1600 out of 1600 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4860
     2        2.0290            -nan     0.1000    0.2803
     3        1.8577            -nan     0.1000    0.2236
     4        1.7221            -nan     0.1000    0.1661
     5        1.6176            -nan     0.1000    0.1385
     6        1.5291            -nan     0.1000    0.1356
     7        1.4446            -nan     0.1000    0.1003
     8        1.3786            -nan     0.1000    0.1135
     9        1.3090            -nan     0.1000    0.0844
    10        1.2488            -nan     0.1000    0.0892
    20        0.8466            -nan     0.1000    0.0363
    40        0.4769            -nan     0.1000    0.0082
    60        0.3104            -nan     0.1000    0.0050
    80        0.2204            -nan     0.1000    0.0016
   100        0.1609            -nan     0.1000    0.0007
   120        0.1231            -nan     0.1000    0.0010
   140        0.0920            -nan     0.1000   -0.0002
   150        0.0802            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7089
     2        1.8549            -nan     0.1000    0.3953
     3        1.6087            -nan     0.1000    0.2646
     4        1.4416            -nan     0.1000    0.2160
     5        1.3052            -nan     0.1000    0.1834
     6        1.1935            -nan     0.1000    0.1416
     7        1.1030            -nan     0.1000    0.1346
     8        1.0202            -nan     0.1000    0.1066
     9        0.9505            -nan     0.1000    0.1160
    10        0.8747            -nan     0.1000    0.0811
    20        0.4873            -nan     0.1000    0.0280
    40        0.2245            -nan     0.1000    0.0065
    60        0.1230            -nan     0.1000    0.0041
    80        0.0714            -nan     0.1000    0.0009
   100        0.0438            -nan     0.1000    0.0000
   120        0.0275            -nan     0.1000    0.0003
   140        0.0176            -nan     0.1000    0.0001
   150        0.0142            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8579
     2        1.7647            -nan     0.1000    0.4386
     3        1.5046            -nan     0.1000    0.2985
     4        1.3172            -nan     0.1000    0.2224
     5        1.1742            -nan     0.1000    0.1823
     6        1.0561            -nan     0.1000    0.1723
     7        0.9455            -nan     0.1000    0.1501
     8        0.8489            -nan     0.1000    0.1216
     9        0.7699            -nan     0.1000    0.0887
    10        0.7050            -nan     0.1000    0.0833
    20        0.3510            -nan     0.1000    0.0228
    40        0.1331            -nan     0.1000    0.0037
    60        0.0589            -nan     0.1000    0.0020
    80        0.0300            -nan     0.1000    0.0003
   100        0.0156            -nan     0.1000    0.0003
   120        0.0085            -nan     0.1000    0.0001
   140        0.0048            -nan     0.1000    0.0001
   150        0.0036            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4701
     2        2.0256            -nan     0.1000    0.2755
     3        1.8587            -nan     0.1000    0.2232
     4        1.7242            -nan     0.1000    0.1667
     5        1.6199            -nan     0.1000    0.1115
     6        1.5402            -nan     0.1000    0.1291
     7        1.4528            -nan     0.1000    0.1112
     8        1.3791            -nan     0.1000    0.1180
     9        1.3056            -nan     0.1000    0.0849
    10        1.2471            -nan     0.1000    0.0716
    20        0.8524            -nan     0.1000    0.0336
